capital_run_length_average,capital_run_length_longest,capital_run_length_total,char_freq_%21,char_freq_%23,char_freq_%24,char_freq_%28,char_freq_%3B,char_freq_%5B,target,word_freq_000,word_freq_1999,word_freq_3d,word_freq_415,word_freq_650,word_freq_85,word_freq_857,word_freq_address,word_freq_addresses,word_freq_all,word_freq_business,word_freq_conference,word_freq_credit,word_freq_cs,word_freq_data,word_freq_direct,word_freq_edu,word_freq_email,word_freq_font,word_freq_free,word_freq_george,word_freq_hp,word_freq_hpl,word_freq_internet,word_freq_lab,word_freq_labs,word_freq_mail,word_freq_make,word_freq_meeting,word_freq_money,word_freq_order,word_freq_original,word_freq_our,word_freq_over,word_freq_parts,word_freq_people,word_freq_pm,word_freq_project,word_freq_re,word_freq_receive,word_freq_remove,word_freq_report,word_freq_table,word_freq_technology,word_freq_telnet,word_freq_will,word_freq_you,word_freq_your
3.756,61.0,278.0,0.778,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.93,0.96
5.114,101.0,1028.0,0.372,0.048,0.18,0.132,0.0,0.0,1,0.43,0.07,0.0,0.0,0.0,0.0,0.0,0.28,0.14,0.5,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.14,0.0,0.0,0.0,0.07,0.0,0.0,0.94,0.21,0.0,0.43,0.0,0.0,0.14,0.28,0.0,0.65,0.0,0.0,0.0,0.21,0.21,0.21,0.0,0.0,0.0,0.79,3.47,1.59
9.821,485.0,2259.0,0.276,0.01,0.184,0.143,0.01,0.0,1,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.71,0.06,0.0,0.32,0.0,0.0,0.06,0.06,1.03,0.0,0.06,0.0,0.0,0.0,0.12,0.0,0.0,0.25,0.06,0.0,0.06,0.64,0.12,1.23,0.19,0.0,0.12,0.0,0.0,0.06,0.38,0.19,0.0,0.0,0.0,0.0,0.45,1.36,0.51
3.537,40.0,191.0,0.137,0.0,0.0,0.137,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.63,0.0,0.0,0.63,0.0,0.0,0.0,0.31,0.0,0.63,0.0,0.0,0.31,0.0,0.0,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.31,3.18,0.31
3.537,40.0,191.0,0.135,0.0,0.0,0.135,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.63,0.0,0.0,0.63,0.0,0.0,0.0,0.31,0.0,0.63,0.0,0.0,0.31,0.0,0.0,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.31,3.18,0.31
3.0,15.0,54.0,0.0,0.0,0.0,0.223,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.671,4.0,112.0,0.164,0.0,0.054,0.054,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,1.28,3.85,0.64
2.45,11.0,49.0,0.0,0.0,0.0,0.206,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.744,445.0,1257.0,0.181,0.022,0.203,0.271,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,3.53,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.15,0.0,0.15,0.92,0.3,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.3,0.0,0.0,0.0,0.0,0.92,1.23,2.0
1.729,43.0,749.0,0.244,0.0,0.081,0.03,0.04,0.0,1,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.77,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.19,0.32,0.0,0.25,0.0,0.06,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.64,1.67,0.71
1.312,6.0,21.0,0.462,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.96,0.0,0.0,0.0,0.0,0.0,3.84,0.96
1.243,11.0,184.0,0.663,0.0,0.0,0.044,0.022,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.25,0.0,0.12,0.0,0.0,0.0,0.12,0.25,0.0,0.0,0.0,0.0,0.12,1.16,0.77
